"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2025-01-01 00:00:00+08:00",2.0,367.17,0.0,2.1,67.95,0.8,13.4,15.15,1.95,119.9811,16.1561,"2025-01-01 00:00:00.605848+08:00","Alaminos"
"2025-01-01 00:00:03+08:00",2.0,594.14,0.05,11.82,11.44,2.12,14.98,19.22,4.02,120.5833,15.15,"2025-01-01 00:00:03.296877+08:00","Angeles City"
"2025-01-01 00:00:05+08:00",1.0,327.11,0.0,3.13,32.9,0.51,5.38,6.57,1.69,121.19,15.6181,"2025-01-01 00:00:05.509106+08:00","Antipolo"
"2025-01-01 00:00:06+08:00",1.0,208.62,0.0,1.15,37.91,2.74,3.25,3.49,0.25,123.5085,12.2285,"2025-01-01 00:00:06.987476+08:00","Bacolod"
"2025-01-01 00:00:09+08:00",3.0,1588.82,11.4,50.72,0.0,30.52,46.08,69.62,9.63,120.929,14.459,"2025-01-01 00:00:09.198975+08:00","Bacoor"
"2025-01-01 00:00:10+08:00",1.0,243.66,0.0,2.34,35.41,1.09,3.3,4.2,0.6,122.8333,10.5333,"2025-01-01 00:00:10.909819+08:00","Bago City"
"2025-01-01 00:00:12+08:00",2.0,627.52,0.01,11.14,15.91,2.86,22.45,26.07,2.91,120.5931,16.4164,"2025-01-01 00:00:12.964236+08:00","Baguio"
"2025-01-01 00:00:15+08:00",1.0,263.69,0.0,2.74,29.33,0.51,7.08,7.66,1.54,123.1228,9.5911,"2025-01-01 00:00:15.313098+08:00","Bais"
"2025-01-01 00:00:17+08:00",1.0,343.8,0.0,5.44,33.62,2.33,5.04,9.77,1.6,120.5361,14.6761,"2025-01-01 00:00:17.935371+08:00","Balanga"
"2025-01-01 00:00:19+08:00",2.0,247.0,0.0,0.74,78.68,0.25,4.79,6.1,0.31,120.5649,18.0554,"2025-01-01 00:00:19.717237+08:00","Batac City"
"2025-01-01 00:00:22+08:00",1.0,357.15,0.08,15.42,14.48,7.03,6.48,10.29,3.33,121.05,13.75,"2025-01-01 00:00:22.538241+08:00","Batangas City"
"2025-01-01 00:00:24+08:00",1.0,280.38,0.0,2.72,26.82,0.43,7.77,8.37,1.38,122.8011,9.3636,"2025-01-01 00:00:24.359314+08:00","Bayawan"
"2025-01-01 00:00:25+08:00",1.0,216.96,0.0,0.56,42.92,8.58,3.37,3.86,0.03,123.7135,13.4083,"2025-01-01 00:00:25.766035+08:00","Baybay"
"2025-01-01 00:00:27+08:00",1.0,277.04,0.35,5.44,0.34,1.27,6.8,7.82,3.04,125.7675,8.7561,"2025-01-01 00:00:27.810705+08:00","Bayugan"
"2025-01-01 00:00:30+08:00",1.0,487.33,0.21,15.77,5.99,1.59,7.36,8.78,2.57,125.0336,11.0725,"2025-01-01 00:00:30.328456+08:00","Bislig"
"2025-01-01 00:00:32+08:00",1.0,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,121.0807,14.3427,"2025-01-01 00:00:32.864205+08:00","Biñan"
"2025-01-01 00:00:35+08:00",1.0,216.96,0.0,1.63,30.4,0.31,1.26,1.58,0.36,124.0055,11.0517,"2025-01-01 00:00:35.509801+08:00","Bogo"
"2025-01-01 00:00:37+08:00",1.0,180.24,0.01,1.16,20.21,0.25,0.81,1.14,0.23,125.4319,11.6081,"2025-01-01 00:00:37.770532+08:00","Borongan"
"2025-01-01 00:00:39+08:00",1.0,247.0,0.0,2.1,17.52,0.34,2.06,2.32,0.9,125.5436,8.9492,"2025-01-01 00:00:39.895502+08:00","Butuan"
"2025-01-01 00:00:41+08:00",1.0,293.73,0.0,4.88,11.44,0.78,2.93,3.39,1.93,125.5344,9.1236,"2025-01-01 00:00:41.180424+08:00","Cabadbaran"
"2025-01-01 00:00:42+08:00",1.0,427.25,0.0,8.14,31.47,1.43,8.27,10.71,3.61,120.9667,15.4833,"2025-01-01 00:00:42.553246+08:00","Cabanatuan City"
"2025-01-01 00:00:44+08:00",1.0,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,121.1262,14.2726,"2025-01-01 00:00:44.555252+08:00","Cabuyao"
"2025-01-01 00:00:45+08:00",1.0,206.95,0.0,0.88,40.05,0.36,1.91,2.37,0.27,123.2856,10.9506,"2025-01-01 00:00:45.949674+08:00","Cadiz"
"2025-01-01 00:00:47+08:00",1.0,397.21,0.0,6.68,29.68,1.43,7.84,8.5,1.55,124.6472,8.4822,"2025-01-01 00:00:47.896818+08:00","Cagayan de Oro"
"2025-01-01 00:00:50+08:00",1.0,260.35,0.0,5.83,32.54,3.79,2.58,5.45,1.33,120.8133,13.9324,"2025-01-01 00:00:50.128101+08:00","Calaca"
"2025-01-01 00:00:51+08:00",1.0,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,121.1653,14.2117,"2025-01-01 00:00:51.876998+08:00","Calamba"
"2025-01-01 00:00:53+08:00",1.0,223.64,0.0,9.43,34.33,7.87,3.38,4.43,0.04,121.1803,13.4117,"2025-01-01 00:00:53.564194+08:00","Calapan"
"2025-01-01 00:00:55+08:00",1.0,198.6,0.0,0.86,21.28,3.7,1.87,2.04,0.25,124.6,12.0667,"2025-01-01 00:00:55.308456+08:00","Calbayog City"
"2025-01-01 00:00:57+08:00",2.0,947.95,0.98,31.87,3.35,9.78,23.52,41.24,7.66,120.9667,14.65,"2025-01-01 00:00:57.981467+08:00","Caloocan City"
"2025-01-01 00:00:59+08:00",2.0,413.9,0.0,3.43,18.77,0.81,14.56,15.75,3.39,120.4517,17.1947,"2025-01-01 00:00:59.675850+08:00","Candon"
"2025-01-01 00:01:01+08:00",2.0,634.19,0.71,18.17,3.31,2.98,21.48,24.01,15.58,123.1964,10.3864,"2025-01-01 00:01:02.073283+08:00","Canlaon"
"2025-01-01 00:01:04+08:00",1.0,293.73,0.0,5.01,29.33,2.83,7.74,10.98,3.83,123.6402,10.1061,"2025-01-01 00:01:04.405811+08:00","Carcar"
"2025-01-01 00:01:05+08:00",1.0,323.77,0.01,13.71,31.11,17.17,4.92,9.02,2.66,121.0576,14.3132,"2025-01-01 00:01:05.977268+08:00","Carmona"
"2025-01-01 00:01:07+08:00",1.0,208.62,0.0,1.21,21.82,0.72,1.79,2.05,0.82,124.8861,11.7753,"2025-01-01 00:01:07.890078+08:00","Catbalogan"
"2025-01-01 00:01:09+08:00",1.0,373.84,0.0,3.77,32.9,0.41,9.74,10.96,4.24,121.7725,16.9347,"2025-01-01 00:01:09.372879+08:00","Cauayan"
"2025-01-01 00:01:10+08:00",3.0,1588.82,11.4,50.72,0.0,30.52,46.08,69.62,9.63,120.9169,14.4825,"2025-01-01 00:01:11.094673+08:00","Cavite City"
"2025-01-01 00:01:13+08:00",2.0,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,123.8907,10.3167,"2025-01-01 00:01:13.195326+08:00","Cebu City"
"2025-01-01 00:01:14+08:00",3.0,1348.5,15.2,26.39,0.04,14.78,35.52,56.89,6.71,121.1,14.6333,"2025-01-01 00:01:14.923202+08:00","City of Marikina"
"2025-01-01 00:01:17+08:00",1.0,208.62,0.0,1.15,37.91,2.74,3.25,3.49,0.25,123.5833,12.3333,"2025-01-01 00:01:17.241151+08:00","City of Masbate"
"2025-01-01 00:01:18+08:00",2.0,420.57,0.02,6.94,15.91,1.59,11.13,12.64,2.34,122.65,11.15,"2025-01-01 00:01:18.534118+08:00","City of Passi"
"2025-01-01 00:01:20+08:00",1.0,213.62,0.0,0.86,37.91,3.13,2.3,2.63,0.48,123.9833,12.9833,"2025-01-01 00:01:20.961595+08:00","City of Sorsogon"
"2025-01-01 00:01:22+08:00",2.0,453.95,0.14,4.88,2.03,0.66,12.98,14.02,3.1,124.2464,7.2236,"2025-01-01 00:01:22.655734+08:00","Cotabato"
"2025-01-01 00:01:24+08:00",1.0,293.73,0.0,1.8,24.68,0.22,6.25,6.78,0.91,121.5047,17.7061,"2025-01-01 00:01:24.706455+08:00","Dagupan"
"2025-01-01 00:01:25+08:00",2.0,247.0,0.0,5.91,33.62,3.67,10.71,11.55,1.3,124.0272,10.5208,"2025-01-01 00:01:26.037142+08:00","Danao"
"2025-01-01 00:01:27+08:00",2.0,360.49,0.03,5.74,14.66,2.65,15.3,17.33,3.58,123.9469,10.2706,"2025-01-01 00:01:27.631817+08:00","Dapitan"
"2025-01-01 00:01:29+08:00",1.0,377.18,0.0,16.79,27.18,17.41,6.75,11.24,2.69,120.9367,14.3294,"2025-01-01 00:01:29.982851+08:00","Dasmariñas"
